Time,Temperature (°C),Light (Lux),Humidity (%RH),During USB (12)
2016-06-10 23:12:48,24.187,6.9,0.00,0
2016-06-10 23:12:58,24.187,6.8,0.00,0
2016-06-10 23:13:08,24.187,6.9,0.00,0
2016-06-10 23:13:18,24.187,6.9,0.00,0
2016-06-10 23:13:28,24.187,6.9,0.00,0
2016-06-10 23:13:38,24.187,6.9,0.00,0
2016-06-10 23:13:48,24.187,6.9,0.00,0
2016-06-10 23:13:58,24.187,6.8,0.00,0
2016-06-10 23:14:08,24.187,6.9,0.00,0
2016-06-10 23:14:18,24.125,6.9,0.00,0
2016-06-10 23:14:28,24.187,6.8,0.00,0
2016-06-10 23:14:38,24.187,6.9,0.00,0
2016-06-10 23:14:48,24.125,6.9,0.00,0
2016-06-10 23:14:58,24.187,6.8,0.00,0
2016-06-10 23:15:08,24.187,6.9,0.00,0
2016-06-10 23:15:18,24.187,6.8,0.00,0
2016-06-10 23:15:28,24.187,7.3,0.00,0
2016-06-10 23:15:38,24.187,7.4,0.00,0
2016-06-10 23:15:48,24.187,7.2,0.00,0
2016-06-10 23:15:58,24.187,6.9,0.00,0
2016-06-10 23:16:08,24.187,7.0,0.00,0
2016-06-10 23:16:18,24.187,6.8,0.00,0
2016-06-10 23:16:28,24.187,6.9,0.00,0
2016-06-10 23:16:38,24.187,7.1,0.00,0
2016-06-10 23:16:48,24.187,6.9,0.00,0
2016-06-10 23:16:58,24.187,6.9,0.00,0
2016-06-10 23:17:08,24.187,7.0,0.00,0
2016-06-10 23:17:18,24.187,6.9,0.00,0
2016-06-10 23:17:28,24.187,7.0,0.00,0
2016-06-10 23:17:38,24.187,7.0,0.00,0
2016-06-10 23:17:48,24.187,6.9,0.00,0
2016-06-10 23:17:58,24.187,7.0,0.00,0
2016-06-10 23:18:08,24.187,7.0,0.00,0
2016-06-10 23:18:18,24.187,6.9,0.00,0
2016-06-10 23:18:28,24.187,7.0,0.00,0
2016-06-10 23:18:38,24.187,7.0,0.00,0
2016-06-10 23:18:48,24.187,6.9,0.00,0
2016-06-10 23:18:58,24.187,7.0,0.00,0
2016-06-10 23:19:08,24.187,7.0,0.00,0
2016-06-10 23:19:18,24.187,7.0,0.00,0
2016-06-10 23:19:28,24.187,7.0,0.00,0
2016-06-10 23:19:38,24.187,7.0,0.00,0
2016-06-10 23:19:48,24.187,7.0,0.00,0
2016-06-10 23:19:58,24.187,7.1,0.00,0
2016-06-10 23:20:08,24.187,7.0,0.00,0
2016-06-10 23:20:18,24.187,7.0,0.00,0
2016-06-10 23:20:28,24.187,7.0,0.00,0
2016-06-10 23:20:38,24.187,7.0,0.00,0
2016-06-10 23:20:48,24.187,7.0,0.00,0
2016-06-10 23:20:58,24.187,7.0,0.00,0
2016-06-10 23:21:08,24.187,7.0,0.00,0
2016-06-10 23:21:18,24.187,7.0,0.00,0
2016-06-10 23:21:28,24.187,7.0,0.00,0
2016-06-10 23:21:38,24.187,7.0,0.00,0
2016-06-10 23:21:48,24.187,7.0,0.00,0
2016-06-10 23:21:58,24.187,7.0,0.00,0
2016-06-10 23:22:08,24.187,7.0,0.00,0
2016-06-10 23:22:18,24.187,6.9,0.00,0
2016-06-10 23:22:28,24.187,6.9,0.00,0
2016-06-10 23:22:38,24.187,6.9,0.00,0
2016-06-10 23:22:48,24.187,6.9,0.00,0
2016-06-10 23:22:58,24.187,6.9,0.00,0
2016-06-10 23:23:08,24.187,6.9,0.00,0
2016-06-10 23:23:18,24.187,6.9,0.00,0
2016-06-10 23:23:28,24.187,6.9,0.00,0
2016-06-10 23:23:38,24.187,6.9,0.00,0
2016-06-10 23:23:48,24.187,6.8,0.00,0
2016-06-10 23:23:58,24.187,6.9,0.00,0
2016-06-10 23:24:08,24.187,7.2,0.00,0
2016-06-10 23:24:18,24.187,7.1,0.00,0
2016-06-10 23:24:28,24.187,7.2,0.00,0
2016-06-10 23:24:38,24.187,7.2,0.00,0
2016-06-10 23:24:48,24.187,7.0,0.00,0
2016-06-10 23:24:58,24.187,7.3,0.00,0
2016-06-10 23:25:08,24.187,7.1,0.00,0
2016-06-10 23:25:18,24.187,7.0,0.00,0
2016-06-10 23:25:28,24.187,7.0,0.00,0
2016-06-10 23:25:38,24.187,7.1,0.00,0
2016-06-10 23:25:48,24.187,7.1,0.00,0
2016-06-10 23:25:58,24.187,7.0,0.00,0
2016-06-10 23:26:08,24.187,7.0,0.00,0
2016-06-10 23:26:18,24.187,6.9,0.00,0
2016-06-10 23:26:28,24.187,7.1,0.00,0
2016-06-10 23:26:38,24.187,6.9,0.00,0
2016-06-10 23:26:48,24.187,7.0,0.00,0
2016-06-10 23:26:58,24.250,7.0,0.00,0
2016-06-10 23:27:08,24.187,6.9,0.00,0
2016-06-10 23:27:18,24.187,7.6,0.00,0
